questionID,sentence,label,ChatGPT4_label,GPT_accuracy,BERT_label,BERT_accuracy
95,"I don't usually feel my true emotions, but instead, I get fake mirrored ones.",P,P,1,P,1
96,I live a normal life.,N,N,1,P,0
96,"I have tons of friends and family, but I feel lonely.",S,P,0,S,1
97,I started having anxiety three months ago.,P,B,0,P,1
97,"I'm new to having anxiety, and it's making me depressed.",P,P,1,P,1
98,"I have no friends, no hobbies, and no interest in anything.",S,P,0,S,1
98,I get annoyed with everything and everyone.,P,P,1,P,1
98,"I am always tired, i can sleep 8 hrs or 12 hrs and im still tired.",B,B,1,B,1
98,I don't know what to do.,N,P,0,N,1
98,Is this normal?,N,N,1,N,1
99,"I have a lot on my mind, but all I want to do is stay locked in my room and not socialize with anyone.",S,P,0,S,1
99,Why do I feel so alone?,N,P,0,N,1
101,My dad passed away when I was a teenager.,S,P,0,S,1
101,"I never got any help, and five years later, I feel like I can't handle it anymore.",P,P,1,S,0
